block,txIndex,logIndex,sender,amount0,amount1,sqrtPriceX96,liquidity,tick,fee
56687148,6,9,0x389ea62455975d38ee210be146a9262b768ddebf,-169092448914906,407652,3888907470058598088835072,11494586345489,-198450,100
56687423,11,45,0x389ea62455975d38ee210be146a9262b768ddebf,-248381791900408,597739,3884787460091252744126464,11494586345489,-198471,100
56687437,4,7,0xef740bf23acae26f6492b10de645d6b98dc8eaf3,103927059971420,-250000,3886510450317192943940541,11494586345489,-198462,100
56687654,12,28,0x72901a86a8470cb55c97b450d76ca07da2179768,326438810173870,-786704,3891932381256207684129553,11494586345489,-198434,100
56687774,5,7,0x389ea62455975d38ee210be146a9262b768ddebf,-167821814168461,404636,3889143363443411837255680,11494586345489,-198448,100
56687797,13,26,0x389ea62455975d38ee210be146a9262b768ddebf,-165607260076471,398728,3886395064896722168709120,11494586345489,-198463,100
56687876,15,38,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,255105757252347,-614571,3890630658462692193430324,11494586345489,-198441,100
56687995,18,80,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,111731417414876,-269592,3892488675705438747937301,11494586345489,-198431,100
56688001,6,31,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,53757515981228,-129801,3893383258985544065082893,11494586345489,-198427,100
56688155,6,10,0x6c440fe2425289bda3f924e5ab93cb7d6830d9cc,120357385496631,-290828,3895387627869324276006121,11494586345489,-198416,100
56688873,8,8,0x389ea62455975d38ee210be146a9262b768ddebf,166073658376973,-401787,3898156722504030032639809,11494586345489,-198402,100
56689591,6,10,0x389ea62455975d38ee210be146a9262b768ddebf,-181651050238013,439355,3895128396509478526124032,11494586345489,-198418,100
56689598,4,19,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,-38368922500481,92714,3894489345479726762731646,11494586345489,-198421,100
56689630,6,9,0x389ea62455975d38ee210be146a9262b768ddebf,-169256169814753,408628,3891672811554193031561216,11494586345489,-198435,100
56689665,10,32,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,-59391080677299,143245,3890685470242683661091279,11494586345489,-198440,100
56689871,5,6,0x389ea62455975d38ee210be146a9262b768ddebf,172035880408008,-415218,3893547127801377542111232,11494586345489,-198426,100
56690317,7,8,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-10000000000000,24147,3893380688477128798501923,11494586345489,-198427,100
56691307,5,7,0x389ea62455975d38ee210be146a9262b768ddebf,-184466091745077,445066,3890312997572025383911424,11494586345489,-198442,100
56691391,6,13,0x389ea62455975d38ee210be146a9262b768ddebf,166507048680806,-401787,3893082092206731140545112,11494586345489,-198428,100
56691439,6,6,0xef740bf23acae26f6492b10de645d6b98dc8eaf3,9594537173077,-23170,3893241774233191212988727,11494586345489,-198427,100
56692365,4,2,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,41401503503028,-100000,3893930970323567292914357,11494586345489,-198424,100
56692638,16,49,0x389ea62455975d38ee210be146a9262b768ddebf,166197888472745,-401787,3896700064958273049548045,11494586345489,-198410,100
